Ships,Geometry,X co-ordinate,Y co-ordinate,Latitude,Longitude,Width,Length,Category,ID
target_233,POINT (4386 7942),4386,7942,22.75350479947285,69.97683295648434,100.0,140.0,Passenger_ship,73
target_234,POINT (4398 7953),4398,7953,22.752716062563486,69.97548018118832,80.0,120.0,Passenger_ship,74
target_237,POINT (4424 8090),4424,8090,22.74082376050375,69.9704933274232,50.0,50.0,Tugs_ship,77
target_238,POINT (4676 8288),4676,8288,22.727204386087013,69.94265008190716,100.0,100.0,Passenger_ship,78
target_239,POINT (4666 8291),4666,8291,22.726799512203755,69.94360715224676,70.0,90.0,Passenger_ship,79
target_240,POINT (4804 8296),4804,8296,22.728710444915446,69.9302745094264,40.0,50.0,Tugs_ship,80
target_241,POINT (4762 8305),4762,8305,22.7271275779125,69.93415995238078,50.0,40.0,Tugs_ship,81
target_242,POINT (4739 8328),4739,8328,22.724666707828302,69.93588175008588,60.0,60.0,Passenger_ship,82
target_243,POINT (4821 8345),4821,8345,22.724521693348397,69.92777426188205,70.0,80.0,Passenger_ship,83
target_244,POINT (4800 8360),4800,8360,22.722817399449855,69.92945409759149,60.0,60.0,Passenger_ship,84
target_245,POINT (4661 8364),4661,8364,22.720130270170944,69.942675378652,80.0,110.0,Passenger_ship,85
target_247,POINT (4661 8364),4661,8364,22.720130270170944,69.942675378652,80.0,110.0,Passenger_ship,86
target_248,POINT (4800 8360),4800,8360,22.722817399449855,69.92945409759149,60.0,60.0,Passenger_ship,87
target_249,POINT (4787 8410),4787,8410,22.71812543583565,69.92977362510099,280.0,190.0,Passenger_ship,88
target_251,POINT (9276 8537),9276,8537,22.7825366004388,69.49814546753372,30.0,40.0,Tugs_ship,89
